processed_sentence,mainkeyword_list
"need almost 4 hours the shows must be booked in advance the food is prepared in advance, and simple not more. ",['Food']
despite high entrance fee worth visit when in atlanta ,"['Atlanta', 'Price']"
"very nice aquarium, the largest in the u. s my first time seeing whale sharks and belluga whales i think the 50 price is too steep 35 would be more reasonable ","['ocean voyager', 'Price']"
"some galleries are dead ends or duds you can best see the dolphins from the show which is an extra 5 and the app is glitchy so it s hard to buy tickets for the map on the app is not easily readable and is the only option- no paper map. you have to make reservations for the seal presentations even though the app tells you it s first come, first serve. that was quite annoying so we ended up not being able to see any of the shows because of the inconsistency in the app and directions there are a lot of interesting animals here there are a lot of educational opportunities i was disappointed that there aren t as many interactive exhibits as there are at the shedd only touch thing was the sting rays which were sleepy when we were at the exhibit my little was quite bored because it was a lot of watching or things geared toward older children, again that s a bummer because the shedd is quite interactive for all ages. we went on a friday right at 8 am but it was busy by 8:30. many of the exhibits have limited viewing area the sharks have the most i would say it is a pretty cool place, but my expectations were higher for the largest aquarium in the western hemisphere. ","['Animals', 'Application', 'dolphin show', 'Expansion', 'Experience', 'Groups', 'Guest Service', 'Sharks! Predators of the Deep']"
"the aquarium is nice as a whole, most of the staff is friendly and helpful. we were pretty excited to visit after watching the tv show it s smaller than i expected my comparison is the shedd which is quite big the layout is pretty nice as it loops you around the exhibits so you re back to the middle for *most galleries. some galleries are dead ends or duds you can best see the dolphins from the show which is an extra 5 and the app is glitchy so it s hard to buy tickets for the map on the app is not easily readable and is the only option- no paper map. you have to make reservations for the seal presentations even though the app tells you it s first come, first serve. that was quite annoying so we ended up not being able to see any of the shows because of the inconsistency in the app and directions there are a lot of interesting animals here there are a lot of educational opportunities i was disappointed that there aren t as many interactive exhibits as there are at the shedd only touch thing was the sting rays which were sleepy when we were at the exhibit my little was quite bored because it was a lot of watching or things geared toward older children, again that s a bummer because the shedd is quite interactive for all ages. we went on a friday right at 8 am but it was busy by 8:30. many of the exhibits have limited viewing area the sharks have the most i would say it is a pretty cool place, but my expectations were higher for the largest aquarium in the western hemisphere. ","['aquarium', 'Entertainment']"
"the aquarium is nice as a whole, most of the staff is friendly and helpful. we were pretty excited to visit after watching the tv show it s smaller than i expected my comparison is the shedd which is quite big the layout is pretty nice as it loops you around the exhibits so you re back to the middle for *most galleries. ","['Others', 'Staff']"
great aquarium but the pocket checks at the entrance seem like racial profiling. my black husband and i were walking in together with the same stuff on us but he gets searched and i do not? ,['aquarium']
"enjoy unique experiences such as close encounters with penguins, dolphins and sea otters; visit the cold water quest exhibit get your adrenaline pumping by swimming with whale sharks on ocean voyager discover the marine world through the transparent tunnel live an incomparable emotion when seeing the jellyfish in third and fourth dimension attend an exclusive show where they present a musical work that highlights the emotional bond between humans and animals. enjoy unique experiences such as close encounters with penguins, dolphins and sea otters; visit the cold water quest exhibit get your adrenaline pumping by swimming with whale sharks on ocean voyager discover the marine world through the transparent tunnel live an incomparable emotion when seeing the jellyfish in third and fourth dimension attend an exclusive show where they present a musical work that highlights the emotional bond between humans and animals. ","['Animals', 'coldwater quest', 'dolphin show', 'Entertainment', 'Environmental', 'ocean voyager', 'ocean voyager', 'ocean voyager', 'Programs', 'river scout', 'tropical diver']"
"featuring a wide variety of habitats, the aquarium holds more than 10 million gallons of water 500 different species and 60 different habitats. it welcomes the public year-round, offering numerous tickets and packages to choose from on its website. translated by google the georgia aquarium offers visitors the opportunity to explore the mysteries of the sea featuring a wide variety of habitats, the aquarium holds more than 10 million gallons of water 500 different species and 60 different habitats. it welcomes the public year-round, offering numerous tickets and packages to choose from on its website. ","['Application', 'ticket']"
"translated by google the georgia aquarium offers visitors the opportunity to explore the mysteries of the sea. featuring a wide variety of habitats, the aquarium holds more than 10 million gallons of water 500 different species and 60 different habitats. it welcomes the public year-round, offering numerous tickets and packages to choose from on its website. enjoy unique experiences such as close encounters with penguins, dolphins and sea otters; visit the cold water quest exhibit get your adrenaline pumping by swimming with whale sharks on ocean voyager discover the marine world through the transparent tunnel live an incomparable emotion when seeing the jellyfish in third and fourth dimension attend an exclusive show where they present a musical work that highlights the emotional bond between humans and animals. located across from centennial olympic park, cnn studio tours and world of coca-cola in atlanta, georgia there is no better place to enjoy all these experiences visit the georgia aquarium with that group of celebrities in the area you won and # 39; t be bored. translated by google the georgia aquarium offers visitors the opportunity to explore the mysteries of the sea featuring a wide variety of habitats, the aquarium holds more than 10 million gallons of water 500 different species and 60 different habitats. it welcomes the public year-round, offering numerous tickets and packages to choose from on its website. enjoy unique experiences such as close encounters with penguins, dolphins and sea otters; visit the cold water quest exhibit get your adrenaline pumping by swimming with whale sharks on ocean voyager discover the marine world through the transparent tunnel live an incomparable emotion when seeing the jellyfish in third and fourth dimension attend an exclusive show where they present a musical work that highlights the emotional bond between humans and animals. located across the street from centennial olympic park, cnn studio tours and world of coca-cola in atlanta, georgia there and # 39; s no better place to enjoy all of these experiences visit the georgia aquarium with that group of celebrities in the area, you won and # 39; t be bored. ",['aquarium']
"located across from centennial olympic park, cnn studio tours and world of coca-cola in atlanta, georgia there is no better place to enjoy all these experiences visit the georgia aquarium with that group of celebrities in the area you won and # 39; t be bored. located across the street from centennial olympic park, cnn studio tours and world of coca-cola in atlanta, georgia there and # 39; s no better place to enjoy all of these experiences visit the georgia aquarium with that group of celebrities in the area, you won and # 39; t be bored. ","['Atlanta', 'Others']"
"translated by google the georgia aquarium offers visitors the opportunity to explore the mysteries of the sea. featuring a wide variety of habitats, the aquarium holds more than 10 million gallons of water 500 different species and 60 different habitats. it welcomes the public year-round, offering numerous tickets and packages to choose from on its website. translated by google the georgia aquarium offers visitors the opportunity to explore the mysteries of the sea featuring a wide variety of habitats, the aquarium holds more than 10 million gallons of water 500 different species and 60 different habitats. it welcomes the public year-round, offering numerous tickets and packages to choose from on its website. ",['discount']
"featuring a wide variety of habitats, the aquarium holds more than 10 million gallons of water 500 different species and 60 different habitats. it welcomes the public year-round, offering numerous tickets and packages to choose from on its website. enjoy unique experiences such as close encounters with penguins, dolphins and sea otters; visit the cold water quest exhibit get your adrenaline pumping by swimming with whale sharks on ocean voyager discover the marine world through the transparent tunnel live an incomparable emotion when seeing the jellyfish in third and fourth dimension attend an exclusive show where they present a musical work that highlights the emotional bond between humans and animals. translated by google the georgia aquarium offers visitors the opportunity to explore the mysteries of the sea featuring a wide variety of habitats, the aquarium holds more than 10 million gallons of water 500 different species and 60 different habitats. it welcomes the public year-round, offering numerous tickets and packages to choose from on its website. enjoy unique experiences such as close encounters with penguins, dolphins and sea otters; visit the cold water quest exhibit get your adrenaline pumping by swimming with whale sharks on ocean voyager discover the marine world through the transparent tunnel live an incomparable emotion when seeing the jellyfish in third and fourth dimension attend an exclusive show where they present a musical work that highlights the emotional bond between humans and animals. ",['Tours']
"between baggage claim and catching a shuttle from the international terminal back to the domestic terminal, many of us waited over two hours to get back to our cars following a flight from mexico. ",['Baggage Claim']
"between baggage claim and catching a shuttle from the international terminal back to the domestic terminal, many of us waited over two hours to get back to our cars following a flight from mexico. 90 minutes of that wait was outside in 45 degree weather waiting for a shuttle this airport has become too large to be humane or efficient consider flying out of birmingham or jacksonville instead ","['Crowd', 'Rideshare']"
90 minutes of that wait was outside in 45 degree weather waiting for a shuttle this airport has become too large to be humane or efficient consider flying out of birmingham or jacksonville instead ,['Weather']
"unfortunately, the necessary restaurants are missing in the concoure f. much more is offered in the concoure e i like the airport translated by google although one of the largest airports, it is clearly structured. unfortunately, the necessary restaurants are missing in the concoure f. much more is offered in the concoure e i like the airport ",['Restaurants']
"only my daughter could make this happen lol great staff, great restaurant selections security is always smooth. ","['Restaurants', 'Security', 'Staff']"
unlike any aquarium or museum i ve ever visited it s great when you are at an exhibit that s not mobbed make sure to go on a slower day ,['aquarium']
"what a great place, but it s hard to recommend with the crowds. they clearly sell as many tickets as possible, and in many exhibits we visited it was shoulder to shoulder with people tightly packed into the space. ","['Crowd', 'Exhibits', 'Others', 'Ticket']"
this is by far the best aquarium i have ever been to. ,['aquarium']
the tickets are well worth the price so much to do you ll find yourself being there for over five hours exploring the different scenes ,"['Price', 'Ticket']"
"all security of all terminals converge on a single point massive delays likewise all baggage claim then not sure if because of airport or airline personnel issues, 7-8 arrival flights flowing all their luggage in a single carousel. ","['Arrivals', 'Baggage Claim', 'Security']"
"it is an amazing aquarium and we enjoyed the various things inside though it was very crowded on a easter saturday. but what was not acceptable was the parking and the elevator situation it took forever to park and they forced us all up to the top floor in the rain even though there were available sites inside and it was extremely hard to get on the limited too small elevators with our person with a disability it was the same thing coming back, we actually ended up carrying her assistive device up seven flights of stairs because the elevators were so inadequate. ","['aquarium', 'cleanliness', 'Crowd', 'crowd', 'Environmental', 'Events']"
"dozens of reef sharks circled far below with giant groupers reef fish flitted about a giant sawtooth shark swam up the side of the wall, then turned and swam back down its brown skin shining a little from the overhead lights. ","['Experience', 'Groups', 'Sharks! Predators of the Deep']"
"i blinked a couple times, then i realized that the whale shark was swimming 3 feet beneath me it was so massive that it had obscured my vision i had to spread my legs to let the massive fin pass beneath me. then, one of the whale sharks was headed my way. it yawned, and i saw straight down its throat. then it passed beneath me, showing off its gorgeous white and grey striped back as long as a school bus it was truly beautiful and so very elegant for such a massive creature. if you come here, you have got to try the whale shark program it is unlike anything you have ever tried before thanks for an out-of thisworld adventure ",['ocean voyager']
"i blinked a couple times, then i realized that the whale shark was swimming 3 feet beneath me it was so massive that it had obscured my vision i had to spread my legs to let the massive fin pass beneath me. ",['Programs']
"i took part in the journey with gentle giants program. then, one of the whale sharks was headed my way. it yawned, and i saw straight down its throat. then it passed beneath me, showing off its gorgeous white and grey striped back as long as a school bus it was truly beautiful and so very elegant for such a massive creature. if you come here, you have got to try the whale shark program it is unlike anything you have ever tried before thanks for an out-of thisworld adventure ",['Programs']
the georgia aquarium is simply amazing. my favorite moment is in the ocean explorer exhibit you get a lot of glimpses of the tank and after a little walk you turn a corner and see the whole tank behind a huge wall of glass it is stunning and i just stood there for several minutes taking it all in god s creation is amazing and so much of it is on display in one place at that moment it takes your breath away ,"['aquarium', 'Experience']"
"this aquarium is very big, lots to see make sure to time it right or you will get lost in a line somewhere. it can be expensive to get in, but souvenirs are reasonably priced. ","['aquarium', 'Crowd', 'Gift Shop', 'Price']"
"sleep under the sea, was a bucket list for my daughter. a must do we arrived on time and were able to walk around the aquarium before we met up for sleepover orientation less crowds amazing views let me first say security was amazing checking our bags, the lady at tickets was very helpful got a little turned around and the young lady working in the sea lions show helped me and another family out great service sally was our team 4 4/623 guide every question was a great question. she was amazing and volunteer erica was fun too i also wanted to say we got a snack before bed, chips and water my daughter was so excited since we never have chips at 9pm at night. also breakfast so yummy coffee for parents, banana egg cheese on a biscuits and tater tots filled our belly s very happy to check this off our bucket list. it s a perfect way to see behind the scenes and explore the aquarium with less crowds also 100% of our tickets went back to the aquarium ","['aquarium', 'Crowd', 'Others']"
"sleep under the sea, was a bucket list for my daughter. a must do we arrived on time and were able to walk around the aquarium before we met up for sleepover orientation less crowds amazing views let me first say security was amazing checking our bags, the lady at tickets was very helpful got a little turned around and the young lady working in the sea lions show helped me and another family out great service sally was our team 4 4/623 guide every question was a great question. she was amazing and volunteer erica was fun too i also wanted to say we got a snack before bed, chips and water my daughter was so excited since we never have chips at 9pm at night. ","['Experience', 'Others', 'Staff', 'Staff', 'Staff']"
"also breakfast so yummy coffee for parents, banana egg cheese on a biscuits and tater tots filled our belly s very happy to check this off our bucket list. it s a perfect way to see behind the scenes and explore the aquarium with less crowds also 100% of our tickets went back to the aquarium ","['Food', 'Programs']"
it was a very crowded day because of spring break but my grandkids had a blast. ,['Events']
"bought 7 tickets online, drove 4 hours to get to the aquarium and the tickets were never sent to my email. i was told that they couldn t find my payment in their system so i could pay another 400 for new tickets and the other transaction would probably fall off by the end of the night i told them it isn t realistic to expect someone to pay 800 in one day to get into the aquarium was told this happens often online and usually with apple pay and there isn t anything they can do for me fast forward to this morning and the payment processed through ",['Application']
"bought 7 tickets online, drove 4 hours to get to the aquarium and the tickets were never sent to my email. i called to try to resolve this and they said someone from the management team would get back to me, after 3 hours of hearing nothing i drove to the aquarium and asked to speak with someone. i was told that they couldn t find my payment in their system so i could pay another 400 for new tickets and the other transaction would probably fall off by the end of the night i told them it isn t realistic to expect someone to pay 800 in one day to get into the aquarium was told this happens often online and usually with apple pay and there isn t anything they can do for me fast forward to this morning and the payment processed through ",['aquarium']
i was told that they couldn t find my payment in their system so i could pay another 400 for new tickets and the other transaction would probably fall off by the end of the night i told them it isn t realistic to expect someone to pay 800 in one day to get into the aquarium was told this happens often online and usually with apple pay and there isn t anything they can do for me fast forward to this morning and the payment processed through ,['Price']
"bought 7 tickets online, drove 4 hours to get to the aquarium and the tickets were never sent to my email. ",['Staff']
lazy and slow tsa female employees work in this airport. ,['Security']
"lots of kids and entirely indoors, but right up there with the vancouver aquarium saw my first and second whale shark pre-book the dolphin show if you have time. ","['aquarium', 'dolphin show', 'ocean voyager']"
spring break started in many school districts we had our reservations at ten o'clock. it seems not to have a lot of even out of the crowd on top of that there was a large group in there on a tour i did not get to spend as much time with my grandkids at some of the exhibits that i would not like to for the price that we paid ,"['Events', 'Exhibits']"
i highly recommend the georgia aquarium for any and all animal lovers of all ages ,['Animals']
"this aquarium is mind-blowing we spent almost four entire days exploring the exhibits and it almost was not enough. we were able to participate in a sleepover in the ocean voyager exhibit, falling asleep to whale sharks slowly meandering past the glass right in front of us. i highly recommend the georgia aquarium for any and all animal lovers of all ages ",['aquarium']
"this aquarium is mind-blowing we spent almost four entire days exploring the exhibits and it almost was not enough. we were able to participate in a sleepover in the ocean voyager exhibit, falling asleep to whale sharks slowly meandering past the glass right in front of us. ","['Exhibits', 'ocean voyager', 'ocean voyager']"
"kris and jess were phenomenal leaders and tour guides, taking time and paying attention to connect personally with everyone in the group. we felt safe, at ease and supported every step of the way. we also participated in the ` shark and ray encounter ' where our family of four got to get into an off-display exhibit and feed zebra sharks and stingrays the guides were so kind, welcoming and incredibly knowledgeable. i highly recommend the georgia aquarium for any and all animal lovers of all ages ",['Experience']
"kris and jess were phenomenal leaders and tour guides, taking time and paying attention to connect personally with everyone in the group. we felt safe, at ease and supported every step of the way. we also participated in the ` shark and ray encounter ' where our family of four got to get into an off-display exhibit and feed zebra sharks and stingrays the guides were so kind, welcoming and incredibly knowledgeable. ",['Safety']
crowded and hot and there is no proper ventilation ,"['Crowd', 'Weather']"
"3rd largest aquarium in the world, the largest aquarium in the united states. yet the aquarium in pigeon forge is better than the georgia aquarium it was hot inside the entire time, and over crowded you could hardly walk through the place. too many people to even see any of the exhibits too many times i had to stand for periods of time and wait for others to move the georgia aquarium needs to limit the amount of people inside at once, as well as this place doesn t live up to the hype of being the 3rd largest in the world ",['aquarium']
"yet the aquarium in pigeon forge is better than the georgia aquarium it was hot inside the entire time, and over crowded you could hardly walk through the place. ","['Crowd', 'Environmental']"
"too many people to even see any of the exhibits too many times i had to stand for periods of time and wait for others to move the georgia aquarium needs to limit the amount of people inside at once, as well as this place doesn t live up to the hype of being the 3rd largest in the world ","['Crowd', 'Exhibits']"
"this place is awful. as soon as you walk in they have everybody pushed in like a herd of cattle for the slaughterhouse it is dark and so crowded you can not even move without running into people if there were a fire or any other kind of emergency, people would get trampled to death without a doubt. ",['Crowd']
100 to look in some fish tanks and get pushed around like a rag doll this place is a total gimmick complete waste of time and money ,['Price']
"however, children 's activities were broken or closed off. ","['Activities', 'aquarium', 'Maintenance']"
nice aquarium with good selection of wildlife to view. ,['aquarium']
"we went with family to the georgia aquarium. we had a great time, and made memories. super cool habitats, and huge fish. they even have a tunnel you walk under with fish on top great for taking kids of all ages i definitely recommend visiting the georgia aquarium while visiting atlanta ","['aquarium', 'Experience']"
"super cool habitats, and huge fish. they even have a tunnel you walk under with fish on top great for taking kids of all ages i definitely recommend visiting the georgia aquarium while visiting atlanta ","['Atlanta', 'ocean voyager']"
"the georgia aquarium is certainly on the not-tobemissed list for atlanta. we enjoyed the enormous exhibits and the diverse fauna one unavoidable criticism is that, despite our reserving a date and time the facility was desperately overcrowded on the saturday of our visit. ","['aquarium', 'Atlanta', 'Exhibits', 'Others']"
i would place this attraction at the top of my list of must-see in atl. ,['Attraction']
"way too many people crammed in kids could not see anything because there were way too many people literally walking on top of each other if you wanted to get up to an exhibit to actually see anything you had to slowly push your way through the massive crowd for a good 15 minutes to make your way up too see anything and then had people on top of you trying to get through to see as well not enough exhibits or room for how many people they let it paid over 250 after parking and only stayed about an hour because the kids were so unhappy extremely disappointing experience we visited on a weekday too, can not imagine the weekend crowd if it was that bad during the week. ","['crowd', 'Exhibits', 'Experience', 'Parking']"
"not worth the cost at all. way too many people crammed in kids could not see anything because there were way too many people literally walking on top of each other if you wanted to get up to an exhibit to actually see anything you had to slowly push your way through the massive crowd for a good 15 minutes to make your way up too see anything and then had people on top of you trying to get through to see as well not enough exhibits or room for how many people they let it paid over 250 after parking and only stayed about an hour because the kids were so unhappy extremely disappointing experience we visited on a weekday too, can not imagine the weekend crowd if it was that bad during the week. ",['Price']
updating construction is always going on and this time it was at the transportation and luggage elevator listen to the announcements and you will be redirected to these locations ,['Maintenance']
"being the world 's busiest airport, atlanta airport can sometimes be very difficult to navigate. my last trip though was very easy getting through the check point, train to the terminal and finding our gate. ",['Wayfinding']
"dolphin arena holds tons of people, so use this time to see lots of exhibits while everyone is occupied there. and when it is your time to see dolphins arrive early to get best seats ","['aquarium', 'dolphin show', 'Exhibits']"
"great place to take curious kids, and definitely avoid holidays and weekends if you do not like crowds. ",['Crowd']
i like the sleepover it was good it is expensive but i would recommend it ,['Price']
"my family had a great time but, the dolphin show was very disappointing only lasted 10 minutes we sat waited 1 hour so we would get seats ","['Abbott Oceanarium', 'Crowd', 'Experience']"
"so many things to see here they have dedicated spaces for so many different areas of the world with so many different types of sea creatures the wild reef was one of my favorites beautiful gift shop and perfect layout on top of that, when seeing the dolphins you can watch lake michigan from there as well. it really is immersive on top of that, the building itself is immaculate. if you are a fan of architecture, it is worth visiting as well. ","['Abbott Oceanarium', 'Gift Shop', 'Others', 'Others', 'Others', 'Price', 'Wild Reef']"
last time we went was 6 or 7 years ago we are from grand rapids and love going it well worth dealing with the traffic our favorite part is always the ocean reef tanks and the beluga whales we packed our own lunch and backpacked it in we sat by the window and loved the veiw of the city we also got a chance to see them cleaning some tanks very interesting i would recommend the aquarium to anyone just get there early and dress for the weather ,"['Abbott Oceanarium', 'Environmental', 'Others', 'Parking', 'Price']"
"my family and i were really looking forward to this day at shedd. we got there at our designated time and this place was packed it was pure chaos shedd is also not stroller friendly, we had to take elevators everywhere with extremely long lines and there were sooooo many sets of stairs. we tried to get a drink before we left at 4pm and everything was already closed even though they don t close until 5pm i could go on and on but i m happy my money went to these sweet animals but i would never go back there again nor recommend this place to family or friends ","['Animals', 'Crowd', 'Crowd', 'Experience', 'Food', 'Maintenance', 'Others', 'Price']"
"love coming here, it is always beautiful. a little expensive but it is worth it to help the critters ","['Price', 'Price']"
"i can not recommend coming if you have any sort of sensory sensitivities also, hardly anyone was wearing a mask so if that is something that concerns you i would not attend. ","['Accessibility', 'Coronavirus']"
"i read all of the reviews stating how crowded it was so i got tickets for a monday thinking it would not be too bad and boy was i wrong. it was absolutely packed, i have never seen anything like it. it was so full of people it was hard to get a look at anything because of the crowds in front of each exhibit very loud, hot and chaotic. they could have reduced the amount of visitors by 50% and it still would have been too many people. ","['Crowd', 'Environmental', 'Environmental', 'Ticket']"
"many different exhibits to see, live dolphin and beluga whale shows an underground area to see the dolphins and belugas from below an excellent coral reef exhibit and many other stations and exhibits. you can find great food, coffee and treats from the different cafes and lots of interactive exhibits for the kiddos. ","['Abbott Oceanarium', 'Abbott Oceanarium', 'Exhibits', 'Experience', 'Food', 'Food', 'Wild Reef']"
"always a great experience to visit shedd aquarium, whether with your family or even a large school group. ","['Experience', 'Groups']"
"interesting exhibits lots of walking the inside temperature in most areas were a little too warm, so use a looker for your coat or jacket. ","['Environmental', 'Others']"
bring snacks and/or food because the snacks sold at the shedd are pretty pricey. ,"['Food', 'Price']"
"easily the rudest tsa agents in the country. if you hate your job that much, quit. but then again, this is the bottom 10% of our high school class that qualify for little else in life. its the smallest amount of power ive ever seen go to someones head ",['Staff']
"frantic and missed opportunity frantic and missed opportunity we made the mistake of visiting in spring break and it was rammed full of people trudging around. it s well laid out but with insufficient information there s a few guides giving info but such a missed opportunity to help educate people also insufficient campaigning about what needs to be done to save the seas the objective of stuffing people into a small space to extract cash in order to fund their work is okay but it still seems tragic to have those magnificent creatures do shows or be swimming around and around a tiny space we left feeling somewhat depressed and unsure whether such places serve any real, useful purpose. ","['Events', 'Others']"
"frantic and missed opportunity frantic and missed opportunity we made the mistake of visiting in spring break and it was rammed full of people trudging around. it s well laid out but with insufficient information there s a few guides giving info but such a missed opportunity to help educate people also insufficient campaigning about what needs to be done to save the seas the objective of stuffing people into a small space to extract cash in order to fund their work is okay but it still seems tragic to have those magnificent creatures do shows or be swimming around and around a tiny space we left feeling somewhat depressed and unsure whether such places serve any real, useful purpose. however, go and spend the cash and trust the money goes to a good cause. ",['Price']
"nice aquarium, but needs a lot of tlc. the shark and dolphin enclosures are so small and in dire need of an upgrade portion of the aquarium smell fishy, which is not my experience with other aquariums across the country. ",['aquarium']
"the shark and dolphin enclosures are so small and in dire need of an upgrade portion of the aquarium smell fishy, which is not my experience with other aquariums across the country. ","['dolphin show', 'Experience', 'Sharks! Predators of the Deep']"
"absolutely one of the best airports in states- best restaurants, cleanliness better traffic and great facilities ",['Traffic']
"this airport, an international airport literally shuts down at 9 pm on a holiday weekend. ",['Holidays']
"so many flights were likely missed because security was limited to 1 lane, construction everywhere and just poorly orchestrated. ",['Security']
"pure trash, not efficient at all for this to be the busiest airport in the states since the 90 's you would think they could figure out a better way to handle indoor and outdoor traffic and have enough employees to assist and get people through terminals, customs shuttles pickups etc. ","['Customs', 'Rideshare', 'Staff']"
some of the exhibits were empty or almost empty overall the place seems to be getting a bit run down ,"['Cleanliness', 'Exhibits']"
they had a african art exhibit going when i was there. it was beautiful ,['Ambience']
"there is a wide variety of restaurants and stores at each terminal there are several water bottle filling stations, which is very nice. ",['Restaurants']
"i always park in the park and ride lot c they pick you up at your car and take you right to where you need to be once inside the airport, there is plenty of signage making it easy to find your way around. we traveled over spring break, and it only took us about 30 minutes to get through tsa. ",['Suggestions']
spent last weekend in chicago at odditiesfleamarket shedd_aquarium and fieldmuseum# kachathairian smokeandhoneysalon brsalon brmichigan bigrapidsmichigan ferrisstateuniversity brstylist bigrapidssalon bigrapidsmi grandrapids grandrapidshair midwestsalon brhair haircolorideas safesalon chicago sheddaquarium sheddaquariumchicago odditiesfleamarket fieldmuseum fieldmuseumchicago museum aquarium ,['Others']
"today was very packed, had a hard time seeing everything i had planned to see. ",['Crowd']
the georgia aquarium was great the animals and fish where great but it was way to many people in the building felt like it was over capacity you could not get to the exhibits to see the fish or animals. we reserved a spot for the dolphin show but it did no good barely found sits to watch it when we finally found sits me and my family had to split up could not look at much in the store because there was so many people the merchandise was over priced also the tickets were a little over priced but worth it for the most part except all the people like said this is an honest review from my point of view i hope this helps someone thank you ,"['Animals', 'aquarium', 'Others', 'Price', 'Price', 'Ticket']"
i didn t get to attend today because of parking. i requested a refund and was sent to an email for the request and immediately received a no refund policy when the attendant suggested that i would receive one the customer service and parking service is less than savory they will be reported to the better business bureau and this will be disputed with my bank ,['Parking']
i requested a refund and was sent to an email for the request and immediately received a no refund policy when the attendant suggested that i would receive one the customer service and parking service is less than savory they will be reported to the better business bureau and this will be disputed with my bank ,"['Staff', 'Staff', 'Staff']"
"very busy airport but very well service and a lots of places to eat, shop and seat. ",['Crowd']
bar before security is great tsa pre-check hours are weird tho ,"['Restaurants', 'Security', 'Security']"
awesome family fun prepare to get wet at the dolphin and sea lion shows. ,"['dolphin show', 'Others']"
spring break 2023 spring break 2023 there was not a huge line. it is best to get tickets early it is a wonderful aquarium and lots of tanks and a variety of fish the beluga whales are active and beautiful the shark and dolphins are playful it is definitely a must do if you have the time ,"['Abbott Oceanarium', 'Abbott Oceanarium', 'Caribbean Reef', 'Events', 'Others', 'Ticket']"
love the variety love the variety love the electronic screens at almost every exhibit to explore about each occupant of the tank or exhibit. our 5- and 7yearold grandkids loved them. they know how to navigate them and encouraged them to explore a nice addition since my last visit i always love seeing the whales i was a bit disappointed that the shows were not planned ahead we ended up seeing two shows and they were both dolphins i really wanted to see the beluga whales i loved it all i will definitely be back ,"['Abbott Oceanarium', 'Abbott Oceanarium', 'Others']"
"experience/venue was great, however food parking and services are way over priced. ","['Experience', 'Food', 'Parking']"
loved it loved it my baby loved the shark tank he didn t wan na see nothing else lol but we had a good time real nice inside went back in 2016 and visited again march 2023 we had a blasted even got a drawing ,['Sharks! Predators of the Deep']
"disappointed spring breaker disappointed spring breaker extremely disappointed in the georgia aquarium. we made reservations for the sea lion show, arrived early to be told that the show was at capacity and we could attend another show in 3 hours. ","['aquarium', 'Entertainment', 'Others', 'Others']"
"amazing aquarium amazing aquarium this place is absolutely amazing. you really need to plan several hours to spend here especially since the 4d theater, dolphin and sea lion show are included in general admission. there are different 4d shows daily so you can catch more than one there is a huge cafe the aquarium is almost always crowded so plan extra time so you can see everything ",['aquarium']
there are different 4d shows daily so you can catch more than one there is a huge cafe the aquarium is almost always crowded so plan extra time so you can see everything ,['Crowd']
"amazing aquarium amazing aquarium this place is absolutely amazing. you really need to plan several hours to spend here especially since the 4d theater, dolphin and sea lion show are included in general admission. ",['Ticket']
"so crowded sooo crowded we visited today monday and it was so packed literally shoulder to shoulder could not even enjoy or see any of the exhibits there were so many people there strollers hitting the back of our feet, people pushing and right up on top of you too see shoving cameras in front of your face to get a picture of the tanks. it was absolutely insane kids were asking to leave a half hour in because they could not see anything and they were bored we have been to many other aquariums while on various vacations and they absolutely love aquariums so otnwas really disappointig that they did not even enjoy it, especially since this is the most expensive one we have been to. after parking we payed 200 family of 5, one child 2 so he was free for about an hour of unenjoyable shoulder to shoulder walking seeing nothing. definitely not worth the money and so far the biggest disappointment of our atlanta vacation we will stick to the ripley aquariums going forward ",['aquarium']
"so crowded sooo crowded we visited today monday and it was so packed literally shoulder to shoulder could not even enjoy or see any of the exhibits there were so many people there strollers hitting the back of our feet, people pushing and right up on top of you too see shoving cameras in front of your face to get a picture of the tanks. it was absolutely insane kids were asking to leave a half hour in because they could not see anything and they were bored we have been to many other aquariums while on various vacations and they absolutely love aquariums so otnwas really disappointig that they did not even enjoy it, especially since this is the most expensive one we have been to. after parking we payed 200 family of 5, one child 2 so he was free for about an hour of unenjoyable shoulder to shoulder walking seeing nothing. ","['aquarium', 'Exhibits', 'Experience', 'Experience', 'Parking', 'Price']"
"so crowded just do not. so crowded sooo crowded we visited today monday and it was so packed literally shoulder to shoulder could not even enjoy or see any of the exhibits there were so many people there strollers hitting the back of our feet, people pushing and right up on top of you too see shoving cameras in front of your face to get a picture of the tanks. it was absolutely insane kids were asking to leave a half hour in because they could not see anything and they were bored we have been to many other aquariums while on various vacations and they absolutely love aquariums so otnwas really disappointig that they did not even enjoy it, especially since this is the most expensive one we have been to. after parking we payed 200 family of 5, one child 2 so he was free for about an hour of unenjoyable shoulder to shoulder walking seeing nothing. ",['Crowd']
wheelchair accessible wheelchair accessible was so excited before and after that i was able to visit the ga aquarium with my mom. she borrowed a wheelchair and we found that the exhibits had designated handicap locations at the front the amazing tanks this allowed us to see really up close mom 's favorite was your sea dragons. ,"['Accessibility', 'Accessibility']"
"not worth it not worth it the aquarium is basically alot of random facts and props etc ` fillers ' things to read, but not many live animals. ","['Animals', 'Price']"
"not worth it not worth it the aquarium is basically alot of random facts and props etc ` fillers ' things to read, but not many live animals. the baltimore aquarium is way better ",['aquarium']
